lag,corr,pvalue,n
-30,0.0007929976964267865,0.22470153310495675,2344123
-29,0.0012372303668287427,0.05818980880982746,2344124
-28,0.0009655117108804846,0.1393409563086743,2344125
-27,0.001770316654104423,0.006719180206964597,2344126
-26,0.0016209839900055197,0.01307152399681351,2344127
-25,0.0019773698272254787,0.0024661639804139782,2344128
-24,0.0010637101619373579,0.10339810329924648,2344129
-23,0.0007247170317204655,0.26717948103605327,2344130
-22,0.00047949462145536597,0.4628679650678382,2344131
-21,-0.0002126608448139408,0.7447304479735736,2344132
-20,0.0017272001928893927,0.008182595186633647,2344133
-19,0.0016659072525429522,0.010753812109395916,2344134
-18,0.0033006116477396165,4.339339102782514e-07,2344135
-17,0.0027126423488867805,3.2783517136198556e-05,2344136
-16,0.003590671419754116,3.851279049917089e-08,2344137
-15,0.003172434775395104,1.1906294249532232e-06,2344138
-14,0.0029494276433490252,6.309229288269255e-06,2344139
-13,0.004440727370880733,1.0531631555898615e-11,2344140
-12,0.0037344374389437244,1.080008837350266e-08,2344141
-11,0.004165306991186569,1.8017193466237488e-10,2344142
-10,0.004267991855810269,6.379021699249126e-11,2344143
-9,0.004218402000453236,1.0564052037236815e-10,2344144
-8,0.006588341058785518,6.2907082568639556e-24,2344145
-7,0.008342818442906264,2.30328785908157e-37,2344146
-6,0.007915866850056208,8.290428498221241e-34,2344147
-5,0.01247606216792329,2.4139189483454766e-81,2344148
-4,0.014107060169493849,1.8024471364533596e-103,2344149
-3,0.018551924938454305,1.6774302636642576e-177,2344150
-2,0.0234777320281456,4.917738102348188e-283,2344151
-1,0.03499830966517577,0.0,2344152
0,0.05803965933878445,0.0,2344153
1,0.23202928552048807,0.0,2344153
2,0.29242365407970555,0.0,2344152
3,0.08320941157180807,0.0,2344151
4,0.03673539524653495,0.0,2344150
5,0.018741141146667844,4.238015318256986e-181,2344149
6,0.010351855891029198,1.4116427633027146e-56,2344148
7,0.006241839180387685,1.2154442883717003e-21,2344147
8,0.004875819523957383,8.316392201278553e-14,2344146
9,0.003535208315141624,6.210560057182811e-08,2344145
10,0.002732879139629513,2.861634317696359e-05,2344144
11,0.0025947548017632672,7.105405240220564e-05,2344143
12,0.0009339895498140712,0.15271909739602813,2344142
13,0.00034370675896755015,0.5987249475387911,2344141
14,-0.00014900544591361404,0.8195405701169263,2344140
15,0.0006167769232064693,0.34500568407260634,2344139
16,0.0010136877410623073,0.12065885031924024,2344138
17,0.0007821180334847617,0.23112450145780786,2344137
18,0.0015005078883946958,0.021598047784929925,2344136
19,0.00013781741965322096,0.8328824416602069,2344135
20,0.00013154247123822548,0.8403867152746922,2344134
21,0.00013797494560474277,0.8326943187353003,2344133
22,-0.0006211689070101658,0.34158210621354884,2344132
23,-0.0008942865627431875,0.1709361658951038,2344131
24,-0.0010707535908778684,0.10113363640740437,2344130
25,-0.0005430420733230679,0.4057325495981911,2344129
26,-0.0004902783493911319,0.45286781423597167,2344128
27,0.0006102894951997796,0.35010487304144844,2344127
28,0.0007870891891467805,0.22817415487729406,2344126
29,-7.769518773457357e-05,0.9053106663430776,2344125
30,0.0003158923606283007,0.6286358636507114,2344124
