lag,corr,pvalue,n,control_mean,control_std
-30,0.00017861959923032522,0.6989216423156782,4688806,-0.0005571234607044148,0.0013961775984840277
-29,0.0011427483714272501,0.01334348302173569,4688807,-0.00013549454333449122,0.0007422113495014456
-28,0.00035757112226482586,0.4387699515879705,4688808,0.0001398654771276089,0.0009337801366187965
-27,0.0013157124025074518,0.004385700481405406,4688809,-0.0003870357379465,0.0009195993414740383
-26,0.001099960308238778,0.01722746739327508,4688810,-0.00011859835983609861,0.0008807971497417442
-25,0.0012461299992966488,0.006968870356187467,4688811,-0.0001030028716430775,0.0009674490212260222
-24,0.0014746532014563193,0.0014072226928529498,4688812,8.991649368281716e-05,0.0010220007959195036
-23,0.00039188345602757257,0.3961199396822195,4688813,0.00010001242546492507,0.0008246921626625735
-22,0.0010633297828986478,0.021307036546302525,4688814,-0.0005229572936125197,0.0018077502991093964
-21,0.001406960345741984,0.002314559153593011,4688815,-0.00045393061983263917,0.0013662571948528158
-20,0.0019866404848096907,1.694088185047945e-05,4688816,-0.00022357758405566766,0.0010008720652231776
-19,0.0016731050046777845,0.0002913308634945283,4688817,0.0003269722323875983,0.0007795824149312761
-18,0.0033169536172823217,6.847680422460358e-13,4688818,2.970260645566466e-05,0.0008895996532981031
-17,0.0028328745143005006,8.557437956283198e-10,4688819,-2.8050219286426763e-05,0.0008697826478231671
-16,0.003258000164557393,1.7286504754258675e-12,4688820,0.0001155242017563953,0.001035069580914182
-15,0.003154330713076258,8.473504069960418e-12,4688821,-9.771898539228838e-05,0.0008901849954709972
-14,0.003148300081807479,9.280239832741355e-12,4688822,0.0003750963794729774,0.0009294284674819434
-13,0.003536825991242769,1.8803620564029067e-14,4688823,0.00016650654234247913,0.0009483418845636185
-12,0.00429895593202655,1.2920255483885982e-20,4688824,6.395174203173702e-05,0.0009126338636079386
-11,0.0038807263822938746,4.3434102273233396e-17,4688825,-3.6318717231618116e-06,0.0009363928519467728
-10,0.0046694104921194985,4.935122291083765e-24,4688826,-0.0003079427448578678,0.0012271299334973603
-9,0.004651404457785915,7.342145538311372e-24,4688827,-5.844731566152541e-05,0.0010878115708246128
-8,0.007144751022387817,5.426526431016492e-54,4688828,-1.9451604153224855e-05,0.0006049544949872817
-7,0.008281300611740908,6.589042762142587e-72,4688829,-0.00016333241114196048,0.0010325903218279912
-6,0.008883334280447911,1.846365799273612e-82,4688830,0.00030182387549503156,0.0014097818765543481
-5,0.011490062132481577,1.1930122903926133e-136,4688831,3.939614842475716e-05,0.0007106133990791923
-4,0.013342535093386239,1.4696479393796806e-183,4688832,-0.0001340360196487084,0.0006675359044206152
-3,0.017453122472272375,1.35428676646e-312,4688833,0.0005621334296808792,0.0010746397650993357
-2,0.020829533002195692,0.0,4688834,-0.0002647169285882233,0.0008530515849078008
-1,0.030437320993942564,0.0,4688835,4.965276849916504e-05,0.0014349483325678002
0,0.04743342659066403,0.0,4688836,-2.6208393756498995e-05,0.0007003687051906827
1,0.17858850217901057,0.0,4688836,-8.810458156627506e-05,0.0008774844329185996
2,0.2197731426147504,0.0,4688835,4.942874179695503e-05,0.0018138755912742107
3,0.07214880044181415,0.0,4688834,0.0001425680807134732,0.0013965547207849377
4,0.039229441049527844,0.0,4688833,-1.2068020742788818e-05,0.0009608320920835998
5,0.023153672258643357,0.0,4688832,-0.00012076487398125817,0.0011639580374303102
6,0.012768571396619417,2.8053381731983387e-168,4688831,-0.0003385144148986368,0.0010214017674973696
7,0.007967553789839637,1.062807108351729e-66,4688830,0.00023777893921803146,0.0017592922517164023
8,0.0055842696837222795,1.1627132641890784e-33,4688829,0.0003669108904523868,0.000970278656757288
9,0.0031391413463655164,1.0651074635635094e-11,4688828,-0.0001241487647143235,0.0007165800834499845
10,0.0030795436280364316,2.5866838958057857e-11,4688827,-0.00032807228948279516,0.0011726052339103398
11,0.0022680658335775122,9.051789594101309e-07,4688826,-1.8657658178690346e-05,0.0012171825530491128
12,0.0007745151646774496,0.09352071825534312,4688825,-0.00027268348212970093,0.0010418945728770095
13,-0.00040502937143430264,0.38046602588467826,4688824,-0.00031062041902168107,0.0008172847446128817
14,0.00032176798867941854,0.4859615984148657,4688823,0.00016447101908959337,0.0008926054789700464
15,-0.00015105908544325682,0.7435933531363925,4688822,-0.00013176477548253074,0.0006522700436608861
16,6.244718407682806e-06,0.9892112433521022,4688821,-9.400315537413531e-05,0.0008279922906931617
17,-0.00035531512672336946,0.4416630449871114,4688820,-0.0001927305618270208,0.0009810040893100127
18,0.00011265215671423931,0.8072824612745451,4688819,3.9896387891017665e-05,0.0010950821102651376
19,-1.0786576470417776e-05,0.9813655845473436,4688818,-0.0002914301223583436,0.0008305422447575104
20,0.0002501367246065136,0.5880680242427767,4688817,-0.00014576190168128604,0.0008713646773493949
21,2.53369359578847e-05,0.9562470031800052,4688816,0.00018749299754003827,0.0014704421939559565
22,-0.0005998777399986687,0.1939592570511414,4688815,-0.00012337694807344553,0.0008851911186794664
23,-0.0007082867547220295,0.12510334858153838,4688814,-3.8275458647027253e-05,0.0012304421371459712
24,-0.0005709819740942547,0.21631544028313543,4688813,-0.0004806993442123293,0.0012688978750119708
25,-0.001062793586136193,0.021372553498586317,4688812,0.0001478968542290533,0.0007668570621468727
