lag,corr,pvalue,n
-30,-5.336855640729984e-05,0.9348699491610797,2344653
-29,0.0018472314117371352,0.004676228360487209,2344654
-28,0.0008974823898509207,0.1693645542406924,2344655
-27,0.0007008281795229184,0.28321433484608466,2344656
-26,0.0012115892515628952,0.06356507191946018,2344657
-25,0.0017895691692830775,0.006139462317185367,2344658
-24,0.0018165252266796202,0.005410583193717293,2344659
-23,0.0006470690778409369,0.3217783473339811,2344660
-22,0.0023925909286093183,0.0002486883288968416,2344661
-21,0.0021589533477741917,0.00094687449107109,2344662
-20,0.002681634088612688,4.0221824133619706e-05,2344663
-19,0.0017900188194556466,0.006126546801591082,2344664
-18,0.0033831428921227333,2.2143243392888434e-07,2344665
-17,0.0031997022524351123,9.608538525980822e-07,2344666
-16,0.003153927485573562,1.3694537192306241e-06,2344667
-15,0.0036888471287678764,1.6186060147711392e-08,2344668
-14,0.004765639079118109,2.9352812214405245e-13,2344669
-13,0.003951870742616328,1.4372665688610035e-09,2344670
-12,0.0052640196829181595,7.599160626880192e-16,2344671
-11,0.00413153347750288,2.510107638039573e-10,2344672
-10,0.004708335356679955,5.611965580179776e-13,2344673
-9,0.005775736246591469,9.229701749621768e-19,2344674
-8,0.0077688897882756775,1.2392679059746618e-32,2344675
-7,0.009441364079323323,2.2564285767059407e-47,2344676
-6,0.01080952203494652,1.5389555482217856e-61,2344677
-5,0.012151749502920493,2.7752878959022138e-77,2344678
-4,0.013522779156110089,2.9656284934930916e-95,2344679
-3,0.016866606802577504,4.2377171053412587e-147,2344680
-2,0.019999221694224186,5.423852052100902e-206,2344681
-1,0.028952468485798574,0.0,2344682
0,0.04120641772438665,0.0,2344683
1,0.14183619542857107,0.0,2344683
2,0.16776566509357063,0.0,2344682
3,0.06774755121349176,0.0,2344681
4,0.045188157269260204,0.0,2344680
5,0.029394326961342067,0.0,2344679
6,0.016290582233098143,2.3400169900740134e-137,2344678
7,0.010386011704489138,5.960386602716125e-57,2344677
8,0.0064454902002813765,5.636221591290799e-23,2344676
9,0.0030630321337393406,2.7290494155078156e-06,2344675
10,0.0037608271199040147,8.475451937491696e-09,2344674
11,0.002359996438168913,0.0003018508854960865,2344673
12,0.0008760117159874738,0.1797981218039548,2344672
13,-0.0010784346377038967,0.09867058261935344,2344671
14,0.0006690930536500088,0.30558220005516323,2344670
15,-0.0010519524979555068,0.10722722893026851,2344669
16,-0.0009199173215033273,0.15895189471313434,2344668
17,-0.0015330979291335416,0.01889852802657913,2344667
18,-0.001115000814215048,0.08776211379171464,2344666
19,-0.00011569390521166821,0.8593875266790417,2344665
20,0.0006513042817579409,0.31862087889391877,2344664
21,-0.00018017190171301108,0.7826369020767079,2344663
22,-0.0003429233484975832,0.5995179279145945,2344662
23,-0.0008055010609449338,0.21742440303477537,2344661
24,4.572834690787797e-05,0.9441773430331514,2344660
25,-0.0015416927730876689,0.018241306453297693,2344659
26,-0.00010397717741803065,0.8735013451056504,2344658
27,2.7236145939661406e-05,0.9667341011141096,2344657
28,-0.002228566089699555,0.0006438341500616546,2344656
29,0.00034536760043624355,0.5969193596865929,2344655
30,-0.0005355388294780317,0.41219856901229,2344654
