datetime,open,high,low,close
2026-04-13 20:20:00,8.98,8.99,8.96,8.96
2026-04-13 20:25:00,8.96,8.98,8.96,8.97
2026-04-13 20:30:00,8.98,8.99,8.96,8.98
2026-04-13 20:35:00,8.99,9.01,8.98,8.98
2026-04-13 20:40:00,8.97,8.99,8.97,8.98
2026-04-13 20:45:00,8.98,8.99,8.97,8.97
2026-04-13 20:50:00,8.97,8.97,8.96,8.96
2026-04-13 20:55:00,8.95,8.97,8.95,8.96
2026-04-13 21:00:00,8.97,8.97,8.95,8.95
2026-04-13 21:05:00,8.95,8.98,8.95,8.96
2026-04-13 21:10:00,8.97,8.99,8.97,8.99
2026-04-13 21:15:00,8.98,8.99,8.97,8.97
2026-04-13 21:20:00,8.97,8.99,8.97,8.98
2026-04-13 21:25:00,8.99,8.99,8.97,8.97
2026-04-13 21:30:00,8.98,9,8.97,9
2026-04-13 21:35:00,8.99,9.01,8.99,9.01
2026-04-13 21:40:00,9.01,9.02,8.99,9.01
2026-04-13 21:45:00,9,9.02,8.99,9.02
2026-04-13 21:50:00,9.01,9.02,9.01,9.01
2026-04-13 21:55:00,9.01,9.01,9,9.01
2026-04-13 22:00:00,9,9.02,9,9.01
2026-04-13 22:05:00,9.02,9.08,9.02,9.04
2026-04-13 22:10:00,9.04,9.16,9.04,9.12
2026-04-13 22:15:00,9.12,9.24,9.12,9.22
2026-04-13 22:20:00,9.23,9.3,9.21,9.26
2026-04-13 22:25:00,9.27,9.27,9.24,9.25
2026-04-13 22:30:00,9.26,9.32,9.26,9.3
2026-04-13 22:35:00,9.29,9.31,9.27,9.28
2026-04-13 22:40:00,9.29,9.31,9.28,9.3
2026-04-13 22:45:00,9.3,9.32,9.29,9.3
2026-04-13 22:50:00,9.3,9.35,9.29,9.34
2026-04-13 22:55:00,9.34,9.36,9.31,9.33
2026-04-13 23:00:00,9.33,9.34,9.28,9.32
2026-04-13 23:05:00,9.32,9.35,9.31,9.33
2026-04-13 23:10:00,9.34,9.36,9.31,9.34
2026-04-13 23:15:00,9.34,9.35,9.3,9.34
2026-04-13 23:20:00,9.35,9.39,9.34,9.37
2026-04-13 23:25:00,9.37,9.44,9.36,9.42
2026-04-13 23:30:00,9.42,9.43,9.37,9.39
2026-04-13 23:35:00,9.39,9.4,9.38,9.38
2026-04-13 23:40:00,9.38,9.39,9.37,9.39
2026-04-13 23:45:00,9.38,9.39,9.37,9.37
2026-04-13 23:50:00,9.37,9.37,9.34,9.36
2026-04-13 23:55:00,9.36,9.37,9.34,9.36
2026-04-14 00:00:00,9.36,9.39,9.36,9.36
2026-04-14 00:05:00,9.36,9.37,9.34,9.35
2026-04-14 00:10:00,9.34,9.35,9.32,9.34
2026-04-14 00:15:00,9.34,9.35,9.32,9.32
2026-04-14 00:20:00,9.33,9.34,9.31,9.32
2026-04-14 00:25:00,9.32,9.32,9.29,9.3
2026-04-14 00:30:00,9.3,9.31,9.25,9.26
2026-04-14 00:35:00,9.27,9.29,9.25,9.28
